x,y,z
0.011457840763326031,0.0,-1.0099350067628325
0.018155682280493055,0.0,-1.0098368042416208
0.02490193850824149,0.0,-1.0116935768593827
0.03143460592685644,0.0,-1.0115116734621619
0.03804099400653252,0.0,-1.0132861800967163
0.04476047653279561,0.0,-1.0130115990158044
0.051477990198142094,0.0,-1.0126924590047859
0.058130985007229144,0.0,-1.0143356390180172
0.06480734401798195,0.0,-1.0159350413098935
0.07168436322295925,0.0,-1.0174779368955962
0.07843090640067908,0.0,-1.0169801339855011
0.08466327655992904,0.0,-1.0124663597385037
0.09119968827488957,0.0,-1.0118985210279552
0.0982942661405571,0.0,-1.0152527947481305
0.10543733105983605,0.0,-1.0185572979557795
0.11199251317278934,0.0,-1.0259052963082131
0.11971494599582666,0.0,-1.0330867977596154
0.12565464966970957,0.0,-1.0263366450713833
0.1318866908954243,0.0,-1.0154712702802846
0.13825350529437108,0.0,-1.0105869424615674
0.0,0.0,-0.0
0.15601709235530792,0.0,-1.046433307427184
0.16307906006515746,0.0,-1.04738016983723
0.17034270689548284,0.0,-1.0482496659706215
0.17662340125875153,0.0,-1.043152996509999
0.18231623336449648,0.0,-1.036081459660283
0.18864378602285217,0.0,-1.0329150603970128
0.19549013900687068,0.0,-1.0316412193931932
0.20271327950842194,0.0,-1.0322845181009646
0.2097732606851002,0.0,-1.0329139262792137
0.21721055246616566,0.0,-1.0334193611004892
0.22448397714152016,0.0,-1.0339105106375144
0.2315929205528432,0.0,-1.034390989495657
0.23889801971318464,0.0,-1.0347810088019198
0.24650027030558463,0.0,-1.0371082955695965
0.2538485330043529,0.0,-1.0373933305605634
0.2604293795672622,0.0,-1.0398848677898005
0.26732037892365956,0.0,-1.038134776901396
0.27401874031064427,0.0,-1.036386863076992
0.2807056745736429,0.0,-1.0345957298685107
0.28594988409124955,0.0,-1.0227788929129311
0.2899704983194831,0.0,-1.0112473041271115
0.29649475691269894,0.0,-1.0093536838607564
0.30433525914959836,0.0,-1.0111953570098842
0.3126251264178948,0.0,-1.0149431167963037
0.32055238227155514,0.0,-1.01666226949761
0.3276273625979633,0.0,-1.0186070445844673
0.3348230326451133,0.0,-1.0183700392344275
0.3428442189644409,0.0,-1.0199185465137217
0.3507223427790257,0.0,-1.021466513536098
0.357973014594898,0.0,-1.0210677356678357
0.365411260130621,0.0,-1.0205540705762493
0.3735450722987174,0.0,-1.0218650003602952
0.3808349335879834,0.0,-1.0213054162977089
0.38884398259662817,0.0,-1.0225636201226764
0.3963405288099732,0.0,-1.0218268861322015
